STATEFP,GEOID,NAME,LOGRADE,HIGRADE,Latitiude,Longitude,NCESIDn,BIA_School,BIA
56,5600730,Albany County School District 1,KG,12,41.6655141,-105.7218826,5600730,Contains non-reservation school,
56,5601030,Carbon County School District 1,KG,12,41.6701404,-107.3473386,5601030,Contains non-reservation school,
56,5601090,Big Horn County School District 4,KG,12,44.303732,-107.8189003,5601090,Intersects Reservation,
56,5601260,Sublette County School District 9,KG,12,42.4702137,-110.2065072,5601260,Contains non-reservation school,
56,5601420,Big Horn County School District 1,KG,12,44.6511788,-108.4825924,5601420,Contains non-reservation school,
56,5601460,Big Horn County School District 2,KG,12,44.8645112,-108.1368525,5601460,Contains non-reservation school,
56,5601470,Campbell County School District 1,KG,12,44.1919995,-105.5170141,5601470,Contains non-reservation school,
56,5601700,Carbon County School District 2,KG,12,41.6978908,-106.5616036,5601700,Contains non-reservation school,
56,5601980,Laramie County School District 1,KG,12,41.3214688,-104.9361616,5601980,Contains non-reservation school,
56,5602070,Park County School District 6,KG,12,44.3491549,-109.4725605,5602070,Contains non-reservation school,
56,5602140,Converse County School District 1,KG,12,42.9480914,-105.3036394,5602140,Contains non-reservation school,
56,5602150,Converse County School District 2,KG,12,43.0106848,-105.8615318,5602150,Contains non-reservation school,
56,5602370,Crook County School District 1,KG,12,44.5892657,-104.5672975,5602370,Contains non-reservation school,
56,5602670,Fremont County School District 2,KG,12,43.6273215,-109.5699937,5602670,Intersects Reservation,
56,5602760,Uinta County School District 1,KG,12,41.2811558,-110.801071,5602760,Contains non-reservation school,
56,5602820,Fremont County School District 21,KG,12,43.0665784,-109.0230809,5602820,Intersects Reservation,
56,5602830,Fremont County School District 6,KG,12,43.3367799,-109.1146899,5602830,Intersects Reservation,
56,5602870,Fremont County School District 1,KG,12,42.5510894,-108.3743087,5602870,Intersects Reservation,
56,5602990,Goshen County School District 1,KG,12,42.0724035,-104.3348268,5602990,Contains non-reservation school,
56,5603170,Big Horn County School District 3,KG,12,44.5858205,-107.9395641,5603170,Contains non-reservation school,
56,5603180,Platte County School District 2,KG,12,42.3608531,-104.7388142,5603180,Contains non-reservation school,
56,5603310,Hot Springs County School District 1,KG,12,43.7202092,-108.4350765,5603310,Intersects Reservation,
56,5603770,Johnson County School District 1,KG,12,44.0440477,-106.5885406,5603770,Contains non-reservation school,
56,5604030,Lincoln County School District 1,KG,12,41.9258636,-110.5062464,5604030,Contains non-reservation school,
56,5604060,Lincoln County School District 2,KG,12,42.5937409,-110.830763,5604060,Contains non-reservation school,
56,5604120,Laramie County School District 2,KG,12,41.279187,-104.320617,5604120,Contains non-reservation school,
56,5604230,Niobrara County School District 1,KG,12,43.0364688,-104.4555149,5604230,Contains non-reservation school,
56,5604260,Uinta County School District 6,KG,12,41.4008812,-110.1900529,5604260,Contains non-reservation school,
56,5604380,Park County School District 16,KG,12,44.1066256,-109.0433185,5604380,Contains non-reservation school,
56,5604450,Fremont County School District 14,KG,12,42.9460176,-108.7142014,5604450,Intersects Reservation,
56,5604500,Uinta County School District 4,KG,12,41.2189178,-110.3455708,5604500,Contains non-reservation school,
56,5604510,Natrona County School District 1,KG,12,42.9736019,-106.7650699,5604510,Contains non-reservation school,
56,5604830,Weston County School District 1,KG,12,43.7460962,-104.4499704,5604830,Contains non-reservation school,
56,5604860,Sublette County School District 1,KG,12,42.8697003,-109.7727706,5604860,Intersects Reservation,
56,5605090,Platte County School District 1,KG,12,42.0845323,-104.9922298,5605090,Contains non-reservation school,
56,5605160,Park County School District 1,KG,12,44.9070731,-109.6402088,5605160,Contains non-reservation school,
56,5605220,Fremont County School District 25,KG,12,42.9433502,-108.149694,5605220,Intersects Reservation,
56,5605302,Sweetwater County School District 1,KG,12,41.8347132,-108.545834,5605302,Contains non-reservation school,
56,5605680,Sheridan County School District 3,KG,12,44.7630532,-106.2920446,5605680,Contains non-reservation school,
56,5605690,Sheridan County School District 1,KG,12,44.8072101,-107.3873009,5605690,Intersects Reservation,
56,5605695,Sheridan County School District 2,KG,12,44.7954108,-106.8311202,5605695,Contains non-reservation school,
56,5605700,Fremont County School District 24,KG,12,43.190223,-107.9578793,5605700,Intersects Reservation,
56,5605762,Sweetwater County School District 2,KG,12,41.3775741,-109.3765892,5605762,Contains non-reservation school,
56,5605820,Washakie County School District 2,KG,12,43.8403581,-107.4110338,5605820,Contains non-reservation school,
56,5605830,Teton County School District 1,KG,12,44.0486555,-110.5858253,5605830,Contains non-reservation school,
56,5606090,Weston County School District 7,KG,12,43.9951024,-104.7882557,5606090,Contains non-reservation school,
56,5606240,Washakie County School District 1,KG,12,43.9856772,-108.0488153,5606240,Contains non-reservation school,
56,5699997,School District Not Defined,PK,12,44.7162021,-110.372581,5699997,No School,
8,800001,Cheyenne County School District RE-5,PK,12,38.8363887,-102.3269763,800001,No School,
8,800016,Yuma School District 1,PK,12,40.1246352,-102.6333456,800016,Contains non-reservation school,
8,800017,Wray School District RD-2,PK,12,40.1197393,-102.236356,800017,Contains non-reservation school,
8,800018,Idalia School District RJ-3,PK,12,39.7098238,-102.2731641,800018,No School,
8,800019,Liberty School District J-4,PK,12,39.6773444,-102.622463,800019,No School,
8,801920,Academy School District 20,PK,12,38.9914897,-104.7892297,801920,Contains non-reservation school,
8,801950,Adams County School District 14,PK,12,39.836175,-104.8749334,801950,Contains non-reservation school,
8,801980,Agate School District 300,PK,12,39.3650295,-104.01917,801980,No School,
8,802010,Aguilar Reorganized School District 6,PK,12,37.5488542,-104.4910197,802010,No School,
8,802040,Akron School District R-1,PK,12,40.1413211,-103.2548311,802040,Contains non-reservation school,
8,802070,Alamosa School District RE-11J,PK,12,37.4692166,-105.8289777,802070,Contains non-reservation school,
8,802130,South Conejos School District RE-10,PK,12,37.0878409,-106.1995407,802130,Contains non-reservation school,
8,802190,Archuleta County School District 50-JT,KG,12,37.2648486,-107.0789593,802190,Contains non-reservation school,
